YEAR;NEIGH_BCN;POP_EMP;WOR_LOWSK;POP_PS_EDU;POP_Y_WSTU;POP_INC_LM;AVER_INC
2016;37;62.3;15.2; ; ;10.6;10724.9
2016;38;64.3;11.8; ; ;9.4;11930.1
2016;39;64.2;10.2; ; ;8.6;12578.2
2016;40;64.5;6.3; ; ;7.1;13880.2
2016;41;68.1;4.6; ; ;5.9;16260.7
2016;42;71.4;8.7; ; ;11.3;13651
2016;43;63.5;8.1; ; ;8.1;14078.2
2016;44;63.6;9.3; ; ;10.6;13586.9
2016;45;62.5;11.5; ; ;12.1;12268.4
2016;46;58.8;18.4; ; ;18.8;10183.5
2016;47;49.4;20.7; ; ;5.6;9433.1
2016;48;64.9;9; ; ;6;13627.7
2016;49;61.5;13.9; ; ;3.8;12760.1
2016;50;56;22.9; ; ;17.9;9307.2
2016;51;58.4;17.4; ; ;16.1;10073.7
2016;52;62.4;14.5; ; ;12.3;11126.1
2016;53;51.8;23.6; ; ;16.5;8668.6
2016;54;49.7;24.6; ; ;14.3;7853.7
2016;55;50.5;27.3; ; ;26.1;7688.2
2016;56;53.8;21.6; ; ;9.9;8445
2016;57;53.6;23.2; ; ;26.4;8641.9
2016;58;47.6;24.2; ; ;9.8;8507.3
2016;59;59.1;15; ; ;11.3;10886.5
2016;60;66.6;6.7; ; ;5.5;14752
2016;61;64;8.6; ; ;9.5;13875.1
2016;62;65.3;8.3; ; ;10.6;13760.7
2016;63;64.4;8.6; ; ;10.7;14136.3
2016;64;63.5;7.1; ; ;10.7;14607.5
2016;65;63.6;7.2; ; ;9.6;14222.9
2016;66;60.6;5.7; ; ;11.5;14836.4
2016;67;62.4;2; ; ;5.1;21909.5
2016;68;65.7;5.9; ; ;8.4;14922.7
2016;69;66.5;3.8; ; ;8.6;17096.3
2016;70;53.9;19; ; ;22.6;9443.3
2016;71;63.7;8.5; ; ;9.2;13708.8
2016;72;63.2;9.1; ; ;8.7;13137.8
2016;73;60.8;12.3; ; ;9.1;12000.8
2017;01;54.2;16; ; ;39.2;9001.2
2017;02;50.1;9.3; ; ;23;11978.8
2017;03;54.4;11.2; ; ;16.8;11548.5
2017;04;54.7;9; ; ;19.7;12657.3
2017;05;62.4;5.7; ; ;13;16376.5
2017;06;63.8;5.9; ; ;12.6;15980.1
2017;07;61.2;3.1; ; ;9.2;20945.3
2017;08;62;3.9; ; ;11;19231.3
2017;09;63.3;4.9; ; ;11.4;17850
2017;10;63.5;6.4; ; ;13.1;15996.9
2017;11;59.9;12; ; ;21.5;11621.7
2017;12;47.9;20.7; ; ;7.5;9917
2017;13;62.4;13.5; ; ;12.2;12021
2017;14;61.2;7.9; ; ;13;14684.9
2017;15;62.1;8.6; ; ;15.8;13960.3
2017;16;64.6;7.7; ; ;10.3;14156.9
2017;17;63.8;9.5; ; ;14;13717.4
2017;18;64.1;7.1; ; ;12.1;15291.8
2017;19;64.7;3.6; ; ;6.8;20292.7
2017;20;63.6;4; ; ;7.9;18395.9
2017;21;59;2.5; ; ;7.7;27104.9
2017;22;63.3;5.3; ; ;4.2;18681.4
2017;23;64.7;2.4; ; ;4.3;24240
2017;24;65.2;2.1; ; ;3.6;28409.6
2017;25;63.9;2.7; ; ;6.3;25101.2
2017;26;64.7;2.5; ; ;5.5;25505.4
2017;27;65.8;2.9; ; ;6.3;20810.8
2017;28;66.6;4.9; ; ;7.4;18094.7
2017;29;65.8;7.3; ; ;8.9;14331.1
2017;30;65.7;4.6; ; ;7;17804.4
2017;31;63.5;4.5; ; ;8.7;16297.4
2017;32;66.3;4.3; ; ;7.4;17573.8
2017;33;65.3;5.8; ; ;9;15252.7
2017;34;64.2;8.7; ; ;9.1;14126.9
2017;35;66;7.5; ; ;10;14869.9
2017;36;69;5; ; ;3.6;17530.3
2017;37;64.3;14.4; ; ;11.5;10942.8
2017;38;65;11.5; ; ;10.9;12189.9
2017;39;65.2;10.5; ; ;10.1;13111.8
2017;40;64.7;6.4; ; ;8.2;14018.9
2017;41;68.6;4.3; ; ;6.7;16526.3
2017;42;72.2;9.7; ; ;8.7;13146
2017;43;65.2;8.6; ; ;8.7;14467.8
2017;44;65.5;9.3; ; ;11.2;13726.4
2017;45;63.7;11.6; ; ;13.4;12376.1
2017;46;60.7;18.1; ; ;19.6;10271.8
2017;47;52.7;19.6; ; ;6.2;9596.1
2017;48;66;9; ; ;6.6;13921.8
2017;49;63.8;14.5; ; ;3.8;12787.8
2017;50;58.2;22.7; ; ;18.9;9528
2017;51;60.4;17.3; ; ;17;10225.9
2017;52;64;14.4; ; ;13.4;11315.3
2017;53;54.7;22.4; ; ;17.6;8902.5
2017;54;51.9;24.3; ; ;15.6;8140.6
2017;55;52.9;26.9; ; ;27.3;7770.4
2017;56;54.9;21.2; ; ;10.5;8556
2017;57;56.7;22.8; ; ;26.5;8795.3
2017;58;51.2;24.5; ; ;10.7;8664.7
2017;59;61.2;15.1; ; ;11.8;11139.8
2017;60;68.3;6.6; ; ;6;14985.3
2017;61;65.8;8.8; ; ;10.1;14148.7
2017;62;66.4;8.5; ; ;10.8;14032.2
2017;63;66.1;8.6; ; ;11.2;14373.4
